"rawname","name","rawaffiliation","affiliation","stance"
"Scott Aaronson","scott aaronson","University of Texas at Austin","university of texas austin","AMR Member"
"Colin Adams","colin adams","Williams College","williams college","AMR Member"
"Adebisi Agboola","adebisi agboola","University of California at Santa Barbara","apple","AMR Member"
"Michael Aizenman","michael aizenman","Princeton University","princeton university","AMR Member"
"George E Andrews","george andrews","The Pennsylvania State University","pennsylvania state university","AMR Member"
"Scott Armstrong","scott armstrong","Courant Institute of Mathematical Sciences, New York University","new york university","AMR Member"
"James Arthur","james arthur","University of Toronto","university of toronto","AMR Member"
"Michael Aschbacher","michael aschbacher","California Institute of Technology","california institute of technology","AMR Member"
"Viviane Baladi","viviane baladi","CNRS, Paris","cnrs","AMR Member"
"Eva Bayer-Fluckiger","eva bayer fluckiger","École Polytechnique Fédérale de Lausanne (EPFL)","ecole polytechnique federale de lausanne","AMR Member"
"Igor Belegradek","igor belegradek","Georgia Institute of Technology","georgia institute of technology","AMR Member"
"Jean Bellissard","jean bellissard","Georgia Institute of Technology","georgia institute of technology","AMR Member"
"Vitaly Bergelson","vitaly bergelson","The Ohio State University","ohio state university","AMR Member"
"Paul Biran","paul biran","ETH Zürich","eth zurich","AMR Member"
"Hans Boden","hans boden","McMaster University","mcmaster university","AMR Member"
"Spencer Bloch","spencer bloch","University of Chicago","university of chicago","AMR Member"
"Michel Boileau","michel boileau","Aix-Marseille Université","aix marseille universite","AMR Member"
"Jerry Bona","jerry bona","University of Illinois at Chicago","university of illinois chicago","AMR Member"
"Lilliane Borcea","lilliane borcea","University of Michigan","university of michigan","AMR Member"
"Richard Borcherds","richard borcherds","University of California at Berkeley","university of california berkeley","AMR Member"
"Gil Bor","gil bor","CIMAT","centro de investigacion en matematicas","AMR Member"
"Marius Buliga","marius buliga","Institute of Mathematics of the Romanian Academy","institute of of the romanian academy","AMR Member"
"Leonid Bunimovich","leonid bunimovich","Georgia Institute of Technology","georgia institute of technology","AMR Member"
"Inna Bumagina","inna bumagina","Carleton University","carleton university","AMR Member"
"Dmitri Burago","dmitri burago","The Pennsylvania State University","pennsylvania state university","AMR Member"
"Suncica Canic","suncica canic","University of California at Berkeley","university of california berkeley","AMR Member"
"Lucia Caporaso","lucia caporaso","Roma Tre University","roma tre university","AMR Member"
"Gunnar Carlsson","gunnar carlsson","Stanford University and BlueLIght AI, Inc.","stanford university","AMR Member"
"Erik Carlsson","erik carlsson","University of California at Davis","university of california davis","AMR Member"
"Mei-Chu Chang","mei chu chang","University of California at Riverside","university of california riverside","AMR Member"
"Jeff Cheeger","jeff cheeger","Courant Institute of Mathematical Sciences, New York University","new york university","AMR Member"
"Peter Constantin","peter constantin","Princeton University","princeton university","AMR Member"
"Alexandre Chorin","alexandre chorin","University of California at Berkeley","university of california berkeley","AMR Member"
"Daryl Cooper","daryl cooper","University of California at Santa Barbara","university of california santa barbara","AMR Member"
"Christopher Croke","christopher croke","University of Pennsylvania","university of pennsylvania","AMR Member"
"Galia Dafni","galia dafni","Concordia University","concordia university canada","AMR Member"
"Henri Darmon","henri darmon","McGill University","mcgill university","AMR Member"
"Percy Deift","percy deift","New York University","new york university","AMR Member"
"Gabor Domokos","gabor domokos","Budapest University of Technology and Economics","budapest university of technology","AMR Member"
"Vladimir Dragovic","vladimir dragovic","The University of Texas at Dallas","university of texas dallas","AMR Member"
"William Duke","william duke","University of California at Los Angeles","university of california los angeles","AMR Member"
"Robert Edwards","robert edwards","University of California at Los Angeles","university of california los angeles","AMR Member"
"Yakov Eliashberg","yakov eliashberg","Stanford University","stanford university","AMR Member"
"Anna Erschler","anna erschler","Ecole Normale, Paris","ecole normale","AMR Member"
"Michael Entov","michael entov","Technion – Israel Institute of Technology","technion israel institute of technology","AMR Member"
"Pavel Etingof","pavel etingof","Massachusetts Institute of Technology","massachusetts institute of technology","AMR Member"
"Mario Eudave-Muñoz","mario eudave munoz","Universidad Nacional Autónoma de México","universidad nacional autonoma de mexico","AMR Member"
"Lawrence Evans","lawrence evans","University of California at Berkeley","university of california berkeley","AMR Member"
"John Ewing","john ewing","Math for America","math for america","AMR Member"
"Anna Felikson","anna felikson","Durham University","durham university","AMR Member"
"Ronald Fintushel","ronald fintushel","Michigan State University","michigan state university","AMR Member"
"Joel Fish","joel fish","University of Massachusetts Boston","university of massachusetts boston","AMR Member"
"Eric M Friedlander","eric friedlander","University of Southern California","university of southern california","AMR Member"
"Susan Friedlander","susan friedlander","University of Southern California","university of southern california","AMR Member"
"Dmitry Fuchs","dmitry fuchs","University of California at Davis","university of california davis","AMR Member"
"Kenji Fukaya","kenji fukaya","Simons Center for Geometry and Physics, SUNY","suny stony brook","AMR Member"
"Hillel Furstenberg","hillel furstenberg","Hebrew University","hebrew university of jerusalem","AMR Member"
"Alexander Gamburd","alexander gamburd","The Graduate Center, CUNY","city university of new york","AMR Member"
"Anton Gorodetski","anton gorodetski","University of California at Irvine","university of california irvine","AMR Member"
"Hansjörg Geiges","hansjorg geiges","Universität zu Köln","universitat zu koln","AMR Member"
"Sergei Gelfand","sergei gelfand","American Mathematical Society","american mathematical society","AMR Member"
"Ross Geoghegan","ross geoghegan","Binghamton University","binghamton university","AMR Member"
"Pierre Germain","pierre germain","Courant Institute of Mathematical Sciences, New York University","new york university","AMR Member"
"Robert Ghrist","robert ghrist","University of Pennsylvania","university of pennsylvania","AMR Member"
"Alexander Givental","alexander givental","University of California at Berkeley","university of california berkeley","AMR Member"
"George Glauberman","george glauberman","University of Chicago","university of chicago","AMR Member"
"James Glimm","james glimm","Stony Brook University","suny stony brook","AMR Member"
"Dorian Goldfeld","dorian goldfeld","Columbia University","columbia university","AMR Member"
"Leo Goldmakher","leo goldmakher","Williams College","williams college","AMR Member"
"Alireza Golsefidy","alireza golsefidy","University of California at San Diego","university of california san diego","AMR Member"
"Jesús González","jesus gonzalez","Cinvestav","cinvestav","AMR Member"
"Mark Goresky","mark goresky","Institute for Advanced Study","institute for advanced study","AMR Member"
"Janko Gravner","janko gravner","University of California at Davis","university of california davis","AMR Member"
"Philip Griffiths","philip griffiths","The Institute for Advanced Study","institute for advanced study","AMR Member"
"Niels Grønbech-Jensen","niels gronbech jensen","University of California at Davis","university of california davis","AMR Member"
"Robert Guralnick","robert guralnick","University of Southern California","university of southern california","AMR Member"
"Thomas Hales","thomas hales","University of Pittsburgh","university of pittsburgh","AMR Member"
"Joel Hass","joel hass","University of California at Davis","university of california davis","AMR Member"
"Dennis Hejhal","dennis hejhal","University of Minnesota","university of minnesota","AMR Member"
"Vladimir Hinich","vladimir hinich","University of Haifa","university of haifa","AMR Member"
"Yasuaki Hiraoka","yasuaki hiraoka","Kyoto University","kyoto university","AMR Member"
"Thomas Hou","thomas hou","California Institute of Technology","california institute of technology","AMR Member"
"Tom Ilmanen","tom ilmanen","ETH Zürich","eth zurich","AMR Member"
"Ilia Itenberg","ilia itenberg","Sorbonne Université","sorbonne universite","AMR Member"
"Svetlana Jitomirskaya","svetlana jitomirskaya","University of California at Irvine","university of california irvine","AMR Member"
"Seiichi Kamada","seiichi kamada","Osaka University","osaka university","AMR Member"
"Vadim Kaimanovich","vadim kaimanovich","University of Ottawa","university of ottawa","AMR Member"
"Jarek Kędra","jarek kedra","University of Aberdeen","university of aberdeen","AMR Member"
"Konstantin Khanin","konstantin khanin","University of Toronto","university of toronto","AMR Member"
"Ilya Kapovitch","ilya kapovitch","Hunter College, CUNY","city university of new york","AMR Member"
"Misha Kapranov","misha kapranov","Kavli Institute for the Physics and Mathematics of the Universe","kavli institute for the physics and mathematics of the universe","AMR Member"
"Svetlana Katok","svetlana katok","The Pennsylvania State University","pennsylvania state university","AMR Member"
"Louis H Kauffman","louis h kauffman","University of Illinois at Chicago","university of illinois chicago","AMR Member"
"Boris Khesin","boris khesin","University of Toronto","university of toronto","AMR Member"
"Alexander Kirillov, Jr.","alexander kirillov jr","Stonybrook University","suny stony brook","AMR Member"
"Alexander Kirillov","alexander kirillov","University of Pennsylvania","university of pennsylvania","AMR Member"
"Robion Kirby","robion kirby","University of California at Berkeley","university of california berkeley","AMR Member"
"Alexander Kiselev","alexander kiselev","Duke University","duke university","AMR Member"
"Bjørn Kjos-Hanssen","bjorn kjos hanssen","University of Hawaii","university of hawaii manoa","AMR Member"
"Sergiu Klainerman","sergiu klainerman","Princeton University","princeton university","AMR Member"
"Bruce Kleiner","bruce kleiner","Courant Institute of Mathematical Sciences, New York University","new york university","AMR Member"
