Aaron Kaestner, North Park University
Aaron Weinberg, Ithaca College
Abba Gumel, Arizona State University
Abeer Hasan, Humboldt State University
Adam Avilez, Mesa Community College
Adam Castillo, Florida International University
Aditya P. Adiredja, The University of Arizona
Adriana Salerno, Bates College
Ahsan Chowdhury, Virginia Tech
Aida Alibek, University of Illinois at Chicago
Aisha Mechery, Bryn Mawr College
Ajeet Gary, New York University
Alejandra Rincón Hidalgo, ICTP
Alexander Diaz-Lopez, Villanova University
Alexander Halperin, Salisbury University
Alexander Hoover, Assistant Professor, University of Akron
Alexander Rasmussen, Yale University
Alexander S. Moore, Virginia Tech
Alexandra Newlon, Colgate University
Alexis Byers, Youngstown State University
Alice Mark, Vanderbilt University
Alice Nadeau, Cornell University
Alicia Prieto Langarica, Youngstown State University
Alison Lynch, California State University, Monterey Bay
Alison Marr, Southwestern University
Alissa Crans, Loyola Marymount University
Aliza Steurer, Dominican University
Allison Henrich, Seattle University
Amanda Hattaway, Wentworth Institute of Technology
Amanda Knecht, Villanova University
Amanda Ruiz, University of San Diego
Amber Rosin, Cal Poly Pomona
Amber Verser, Bowling Green State University
Ami Radunskaya, Pomona College, Claremont
Amie Wilkinson, University of Chicago
Amy Beth Prager, NCWIT
Amy Ellis, University of Georgia
Amy Ksir, United States Naval Academy
Amy Parrott, University of Wisconsin Oshkosh
Amy Velchoff, Texas State University
Amy Wehe, Fitchburg State University
Amzi Jeffs, University of Washington graduate program
Ana Caraiani, Imperial College London
Ana Rita Pires, University of Edinburgh
Ander Erickson, University of Washington Tacoma
Andrea Arauza Rivera, California State University, East Bay
Andrea Heald, University of Washington
Andrea Young, Ripon College
Andres Mejia, University of Pennsylvania
Andrés R. Vindas Meléndez, University of Kentucky
Andrew Bernoff, Harvey Mudd College
Andrew Cooper, University of Pennsylvania
Andrew D. Jones, Jr., Florida A&M University
Andrew Schaffner, Cal Poly, San Luis Obispo
Angie Hodge, Northern Arizona University
Anil Venkatesh, Adelphi University
Anila Yadavalli, University of Minnesota
Anita O'Mellan, Youngstown State University
Ann Clifton, Cedar Crest College
Anna Haensch, Duquesne University
Anne Catlla, Wofford College
Anne M. Ho, University of Tennessee
Anschel Schaffer-Cohen, University of Pennsylvania
Anthony Bonato, Ryerson University
Anton Dochtermann, Texas State University
Anurag Katyal, Palm Beach State College
Aram Dermenjian, York University
Areeba Ikram, Colorado School of Mines
Aris Winger, Georgia Gwinnett College
Asamoah Nkwanta, Morgan State University
Ashlee Kalauli, University of California, Santa Barbara
Audrey Malagon, Virginia Wesleyan University
Axel Brandt, Northern Kentucky University
Bahar Acu, Northwestern University
Barbara Fantechi, Sissa, Trieste, Italy
