"","what","content"
"1","AMR Member","https://amathr.org"
"26","AMS Essay","This essay contains my opinions as an individual. Mathematics has made progress over the past decades towards becoming a more wel- coming, inclusive discipline. We should continue to do all we can to reduce barriers to participation in this most beautiful of fields. I am encouraged by the many mathematicians who are working to achieve this laudable aim. There are reasonable means to further this Courtesy of University of California, Davis. goal: encouraging students from all backgrounds to enter the mathematics pipeline, trying to ensure that talented mathematicians don't leave the profession, creating family-friendly policies, and supporting junior faculty at the beginning of their careers, for example. There are also mistakes to avoid. Mandating diversity statements for job candidates is one such mistake, reminiscent of events of seventy years ago. In 1950 the Regents of the University of California required all UC faculty to sign a statement asserting that ""I am not a member of, nor do I support any party or organization that believes in, advocates, or teaches the overthrow of the United States Government, by force or by any illegal or unconstitutional means, that I am not a member of the Communist Party."" Eventually thirty-one faculty members were fired over their refusal to sign. Among them was David Saxon, an eminent phys- icist who later became the president of the University of California. Faculty at universities across the country are facing an echo of the loyalty oath, a mandatory ""Diversity Statement"" for job applicants. The professed purpose is to identify candidates who have the skills and experience to advance institutional diversity and equity goals. In reality it's a political test, and it's a political test with teeth. What are the teeth? Nearly all University of California campuses require that job applicants submit a ""contribu- tions to diversity"" statement as a part of their application. The campuses evaluate such statements using rubrics, a detailed scoring system. Several UC programs have used these diversity statements to screen out candidates early in the search process. A typical rubric from UC Berkeley1 specifies that a statement that ""describes only activities that are already the expectation of Berkeley faculty (mentoring, treating all students the same regardless of background, etc)"" (italics mine) merits a score of 1-2 out of a possible 5 (1 worst and 5 best) in the second section of the rubric, the ""track record for advancing diversity"" category. The diversity ""score"" is becoming central in the hiring process. Hiring committees are being urged to start the review process by using officially provided rubrics to score the required diversity statements and to eliminate ap- plicants who don't achieve a scoring cut-off. Why is it a political test? Politics are a reflection of how you believe society should be organized. Classical liberals aspire to treat every person as a unique individual, not as a representative of their gender or their ethnic group. The sample rubric dictates that in order to get a high diversity score, a candidate must have actively engaged in promoting different identity groups as part of their professional life. The candidate should demonstrate ""clear knowledge of, experience with, and interest in dimensions of diversity that result from different identities"" and describe ""multiple activities in depth."" Requiring candidates to believe that people should be treated differently according to their identity is indeed a political test. The idea of using a political test as a screen for job applicants should send a shiver down our collective spine. Whatever our views on communism, most of us today are in agreement that the UC loyalty oaths of the 1950s were wrong. Whatever our views on diversity and how it can be achieved, mandatory diversity statements are equally misguided. Mathematics is not immune from political pressures on campus. In addition to David Saxon, who eventually became the president of the University of California, three mathematicians were fired for refusing to sign the loyalty oath in 1950. Mathematics must be open and welcoming to everyone, to those who have traditionally been excluded, and to those holding unpopular viewpoints. Imposing a political litmus test is not the way to achieve excellence in mathematics or in the university. Not in 1950, and not today."
"7","AMS Letter A","We are a group of concerned mathematicians writing in response to AMS Vice President Abigail Thompson’s editorial, invited by the AMS for publication in the December 2019 edition of the Notices. In this editorial, Dr. Thompson states her personal opinion against the mandated use of faculty diversity statements in hiring decisions and compares such requirements to McCarthyist loyalty oaths. We are all members of many mathematical societies, including the American Mathematical Society. Some of us serve on committees in these societies or are chairs of committees in these societies. Some of us are or have been chairs of departments, some of us are or have been chairs of search committees, and some of us have written or reviewed diversity statements as part of search processes. We have all thought deeply about the role of diversity statements and related tools, such as student success statements. We are compelled to write because the AMS leadership’s actions have harmed the mathematics community, particularly mathematicians from marginalized backgrounds. We are writing because we support diversity statements as one tool to encourage a more inclusive and equitable mathematics profession. We are writing because we wish to correct the misleading impressions readers might have of such statements from Thompson’s editorial: Thompson’s opinion does not represent the opinions of many other members of the mathematics community. We are writing because not everyone is in a position to raise their voice. We are writing because it matters how our community and its leaders talk about diversity, especially in our profession’s most prominent publication. We are writing because we are disappointed by the editorial decision to publish the piece which contradicts the AMS’s commitment to diversity affirmed in its own diversity statement (wwwamsorg /diversity). Clearly, this is something that people needed to talk about, but the AMS has chosen to spark this conversation by giving its imprimatur to a piece that undermines productive discussion and causes real danger and burden to the marginalized members of our community. Diversity statements are widely used in academic hiring as one component to assess candidates’ qualifications for the job. Each statement one requires as part of a hiring process—research, teaching, mentoring, service, or diversity—helps paint a picture of how a candidate will contribute to the work of an institution. Increased use of diversity statements reflects a growing recognition in higher education that faculty contribute in positive ways to the campus community by acknowledging, appreciating, and collaborating with groups of students, staff, and fellow faculty who are diverse along varied axes. In acknowledgment that this is part of the work of a faculty member and of the hiring process, we recommend that graduate programs explicitly prepare their graduates to contribute to this work and to write and talk about it meaningfully, and we commend the programs already undertaking this work. There are plenty of legitimate questions about how to use diversity statements effectively and how (more broadly) to create diverse and supportive faculties. In order to reduce bias in the evaluation of candidates, hiring committees evaluate statements according to criteria that indicate evidence of these important contributions, grounded in the missions of higher education in general and their institution in particular. Asking for and evaluating diversity statements are not quick solutions to the complex challenge of justice and inclusion in higher education, but they can help hiring committees to evaluate candidates’ skills in doing this portion of our professional work. Diversity statements help assess a candidate’s ability to effectively teach a diverse group of students. If our goal as mathematicians and educators is truly to reach as many students as possible, thinking about diversity and inclusion is necessary. Good teaching is necessarily inclusive. If we willfully ignore an important area of pedagogy that demonstrably helps more students succeed in math, then we will continue to reproduce systems of inequity, and we will do a great disservice to our students. We will therefore not be effective teachers. Suggesting that actively attempting to include more students in mathematics is equivalent to the Red Scare is ignorant (about both history and the present) and dangerous. Claims of “reverse racism,” which equate critiquing privilege with oppressing the privileged, have a long and unsavory history in and beyond higher education. Without understanding the history in which these discussions are rooted, it is possible to profess support for the ideal of equality while acting in ways that lead to exclusion and inequity. While Dr. Thompson attempts to spin this issue with partisan wording, diversity statements are a small yet necessary step towards creating a more equitable and inclusive community. Higher education in the US is shifting; student populations we serve are changing, and our understanding of how to better serve all students is advancing. We need a rehumanization of mathematics that can affirm students’ cultural funds of knowledge while examining and combating its own roles in supporting power structures. We need leadership at all levels, from professional societies to presidents, boards, deans, and chairs, to recognize this reality, advocate for students and faculty from a variety of backgrounds, and move us forward. Dr. Thompson’s preface that the letter is her “personal opinion” does not alleviate our concerns, nor does the fact that she seems to be referring primarily to the use of these documents at the UC system. The fact remains that the Notices made an editorial decision to give Thompson’s essay a national (indeed, international) platform, and in a prominent position within the publication. Notices is a publication of the AMS, and Dr. Thompson is identified as an AMS officer in her byline. According to Notices editor Erica Flapan, Dr. Thompson’s position in the AMS leadership led the AMS to solicit her letter. These contextual details send a message to the profession about how diversity is viewed by those with power and responsibility in the AMS and a major university department. The AMS and Notices bear responsibility for amplifying views that fly in the face of research-based practices and that falsely equate evidence-based approaches to teaching and professional practice with the blacklisting of people based on political ideology, all in direct contradiction of the AMS’s stated commitment to diversity. AMS’s own diversity statement claims, “The American Mathematical Society is committed to promoting and facilitating equity, diversity and inclusion throughout the mathematical sciences... We reaffirm the pledge in the AMS Mission Statement to ‘advance the status of the profession of mathematics, encouraging and facilitating full participation of all individuals,’ and urge all members to conduct their professional activities with this goal in mind.” While merely publishing Dr. Thompson’s letter demonstrates the AMS’s lack of commitment to this statement, the fact that it was written by and credited to an officer of the AMS raises even more serious questions about the statement’s sincerity. We strongly disagree with the sentiments and arguments in Dr. Thompson’s editorial, and we hope that the AMS will reconsider the way that it uses its power and position in the mathematics communities in these kinds of discussions. However, we primarily write this letter to our fellow mathematicians and students of all kinds who might have wondered if inclusion work is valued in our community. We want students and faculty, especially those with multiple identities that are minoritized in mathematics, to know that many mathematicians see this inclusion work as integral to our community and identity."
"8","AMS Letter B","We write with grave concerns about recent attempts to intimidate a voice within our mathematical community. Abigail Thompson published an opinion piece in the December issue of the Notices of the American Mathematical Society (https://wwwamsorg/journals /notices/201911/rnoti-p1778.pdf). She explained her support for efforts within our community to further diversity, and then described her concerns with the rigid rubrics (https://ofewberkeleyedu/sites /default/files/rubric_to_assess_candidate_ contributions_to_diversity_equity_and_ inclusionpdf) used to evaluate diversity statements in the hiring processes of the University of California system. The reaction to the article has been swift and vehement. An article posted at the site QSIDE (https://qside instituteorg/2019/11/19/diversity-statements -in-hiring-the-american-mathematical-society -and-uc-davis) urges faculty to direct their students not to attend the University of California-Davis, where Prof. Thompson is chair of the math department. It recommends contacting the university to question whether Prof. Thompson is fit to be chair. And it recommends refusing to do work for the Notices of the American Mathematical Society for allowing this piece to be published. Regardless of where anyone stands on the issue of whether diversity statements are a fair or effective means to further diversity aims, we should agree that this attempt to silence opinions is damaging to the profession. This is a direct attempt to destroy Thompson’s career and to punish her department. It is an attempt to intimidate the AMS into publishing only articles that hew to a very specific point of view. If we allow ourselves to be intimidated into avoiding discussion of how best to achieve diversity, we undermine our attempts to achieve it. We the undersigned urge the American Mathematical Society to stand by the principle that important issues should be openly discussed in a respectful manner, and to make a clear statement that bullying and intimidation have no place in our community."
"15","AMS Letter C","In an essay in the December 2019 issue of the Notices, Abigail Thompson describes the mandatory ""Diversity Statement"" (mDS) that mathematics job applicants to UC Schools must submit together with their regular applications. At some campuses, the mDS is evaluated, in various categories, according to a detailed list of criteria (called a ""rubric""). If an applicant to Berkeley, for example, merely says that she advocates “mentoring, treating all students the same regardless of background”, she merits a score of 1–2 out of a possible top score of 5 in the “track record for advancing diversity” category (see * below). Hiring committees (at UC Davis and Berkeley, in particular), are encouraged by the Administration to use the rubrics, establish a cutoff and eliminate candidates who score below the cutoff as a first step in the hiring process for all hires. In this way Diversity Statements diminish the value of mathematical achievement as the key element in securing a position at a UC Mathematics Department. Mandatory Diversity Statements undermine Faculty Governance. Should the use of scored diversity statements become required as the first step in the hiring process, this opens the way for Administrators, who have no professional knowledge of mathematics, to exert primary control over the hiring of mathematicians. And indeed, testing the waters, small scale pilot programs have already been implemented at various UC schools requiring the first cut on hiring to be based on such scored diversity statements. We applaud Abigail Thompson for her courageous leadership in bringing this issue to the attention of the broader Mathematics Community. As she says in her essay: “Mathematics has made progress over the past decades towards becoming a more welcoming, inclusive discipline. We should continue to do all we can to reduce barriers to participation in this most beautiful of fields.... There are reasonable means to further this goal: encouraging students from all backgrounds to enter the mathematics pipeline, trying to ensure that talented mathematicians don’t leave the profession, creating family-friendly policies, and supporting junior faculty at the beginning of their careers, for example.” We agree wholeheartedly with these sentiments. It is important to strive to hire faculty that will make the atmosphere more welcoming to all. It is also important to recognize and help reduce various difficulties still faced by underrepresented groups. But as Abigail says, there are mistakes to avoid: mDS‘s are one of them. Finally, we commend the Editorial Board at the Notices for opening up the discussion on this very important matter."
"2","AMS Letter D","I am writing regarding the article in Vol. 66, No. 11, of the Notices of the AMS, written by Abigail Thompson. As a mathematics professor, I am very concerned about ensuring that the intellectual community of mathematicians is focused on rigor and rational thought. I believe that discrimination is antithetical to this ideal: to paraphrase the Greek geometer, there is no royal road to mathematics, because before matters of pure reason, we are all on an equal footing. In my own pursuit of this goal, I work to mentor mathematics students from diverse and disadvantaged backgrounds, including volunteering to help tutor students at other institutions. Their success, despite their non-traditional backgrounds, is a great confirmation of my belief that great mathematicians can come from anywhere, and that we must help those whose histories have left them at a disadvantage compared to more stereotypical mathematics students. I am nonetheless in complete agreement with Dr. Thompson that demands for ideological conformity are just as antithetical to the ideal of reason to which we mathematicians strive. We must remain free to hold our own ideologies, as well as to debate policies and methods for implementing those ideologies. This includes allowing professors of mathematics to debate how best to ensure that our community can be fair, open, and welcoming to people of all backgrounds, and not requiring that everyone subscribe to the same ideas without question. Thompson is correct to say that the UC system’s policies are troubling. I am grateful for her letter."
"3","AMS Letter E","I am writing in support of Abigail Thompson’s opinion piece (AMS Notices, 66(2019), 1778–1779). We should all be grateful to her for such a thoughtful argument against mandatory “Diversity Statements” for job applicants. As she so eloquently stated, “The idea of using a political test as a screen for job applicants should send a shiver down our collective spine.” It is especially pleasing to find her article grounded in the history of a similar incident and so generous to those who feel differently. In addition, I thank Erica Flapan for publishing this article. Avoiding troubling issues is always the easiest path. It is good to see the Notices willing to explore controversial topics that are of great importance to the mathematical community and to academia in general. Well done!"
"4","AMS Letter F","I applaud your running Thompson’s piece about the ‘diversity criterion’ in hiring. I am not yet sure of my position on this matter: I can see several ways of looking at the issue. But I find Thompson’s essay thought provoking and well reasoned, and it will contribute to my understanding of the issue. I know that certain segments of academia will disagree with Thompson’s view. That is not at issue. I know too that certain segments will disapprove of Thompson’s opinion being aired in the Notices. I write to let you know that my feeling is otherwise. Whatever one’s opinion about the ‘diversity statement’ issue, it is important to hear reasonably argued opinions other than one’s own. Is there a need to balance Thompson’s piece with an ‘equal and opposite’ piece? Not necessarily, unless such a piece contributes in the same way to the discussion. It is enough to call the question, as Thompson does. I thank you for keeping the Notices fresh and useful in the field."
"5","AMS Letter G","I applaud Professor Abby Thompson’s principled stand against mandated diversity statements (AMS Notices, 66(2019), 1778–1779), and I also want to congratulate the Notices for publishing her opinion piece. Loyalty Oath Redux, in the form of mandated diversity statements, will not advance the cause of either higher education or social justice."
"6","AMS Letter H","I am appalled and greatly disappointed by the AMS’s decision to publish Abigail Thompson’s piece in the December Notices. You have greatly damaged the respectability and credibility of the entire AMS by bestowing its imprimatur on a piece whose main argument is flat-out fear mongering, by building a false equivalency between certain debatable hiring practices and McCarthyism. To make matters worse, the apology offered on the AMS’ twitter by the Notices’ Editor-in-chief reveals a deep lack of understanding of both the issue at hand and the responsibilities of her position. The issue is not that “[the] piece could be interpreted as representing the views of our professional society,” but rather that by choosing to publish it, the Notices (and the AMS at large) is effectively endorsing if not its content, at the very least its tactics. Of course the Notices should be a forum for discussion of all sorts of issues that affect us as mathematicians, but said discussions ought to be conducted in a professional manner. I expect the Notices to NOT give a platform to ad hominem attacks and other similar logical fallacies often used to mask the lack of substantive arguments. Thompson’s essay does not pass this simple test, as it is very much centered on an attention-grabbing comparison that many people will find obscene instead of reasoning and facts that would support the author’s point. I expect the AMS to take responsibility for the misguided decisions that allowed this to happen, and also take the opportunity to improve the editorial practices at the Notices."
